397 	 -0.0 	 0.160 	 12
398 	 -0.0 	 0.080 	 31
399 	 -0.0 	 0.090 	 13
400 	 1.0 	 0.070 	 0
401 	 -0.0 	 0.100 	 29
402 	 1.0 	 0.150 	 7
403 	 -0.0 	 0.180 	 29
404 	 -0.0 	 0.090 	 31
405 	 1.0 	 0.190 	 7
406 	 -0.0 	 0.010 	 25
407 	 1.0 	 0.110 	 15
408 	 1.0 	 0.040 	 8
409 	 -0.0 	 0.130 	 10
410 	 -0.0 	 0.120 	 31
411 	 -0.0 	 0.010 	 30
412 	 1.0 	 0.150 	 7
413 	 1.0 	 0.130 	 12
414 	 0.0 	 0.050 	 36
415 	 -0.0 	 0.010 	 31
416 	 -0.0 	 0.100 	 24
417 	 -0.0 	 0.040 	 29
418 	 0.0 	 0.030 	 23
419 	 -0.0 	 0.110 	 33
420 	 -0.0 	 0.200 	 18
421 	 -0.0 	 0.070 	 18
422 	 -0.0 	 0.170 	 18
423 	 1.0 	 0.040 	 7
424 	 -0.0 	 0.040 	 30
425 	 1.0 	 0.050 	 12
426 	 -0.0 	 0.050 	 20
427 	 -0.0 	 0.150 	 23
428 	 -0.0 	 0.010 	 34
429 	 1.0 	 0.160 	 11
430 	 -0.0 	 0.010 	 28
431 	 -0.0 	 0.050 	 16
432 	 -0.0 	 0.090 	 36
433 	 -0.0 	 0.070 	 27
434 	 1.0 	 0.190 	 7
435 	 -0.0 	 0.140 	 33
436 	 -0.0 	 0.070 	 28
437 	 -0.0 	 0.020 	 18
438 	 -0.0 	 0.050 	 27
439 	 -0.0 	 0.040 	 30
440 	 -0.0 	 0.010 	 20
441 	 -0.0 	 0.100 	 16
442 	 -0.0 	 0.140 	 23
443 	 -0.0 	 0.080 	 23
444 	 -0.0 	 0.030 	 11
445 	 1.0 	 0.160 	 10
446 	 -0.0 	 0.180 	 23
447 	 -0.0 	 0.020 	 27
448 	 -0.0 	 0.070 	 25
449 	 -0.0 	 0.010 	 24
450 	 -0.0 	 0.130 	 36
451 	 0.0 	 0.010 	 34
452 	 -0.0 	 0.090 	 33
453 	 1.0 	 0.030 	 8
454 	 -0.0 	 0.030 	 15
455 	 -0.0 	 0.170 	 20
456 	 -0.0 	 0.080 	 35
457 	 -0.0 	 0.110 	 32
458 	 -0.0 	 0.100 	 24
459 	 -0.0 	 0.020 	 34
460 	 -0.0 	 0.130 	 17
461 	 -0.0 	 0.190 	 35
462 	 -0.0 	 0.190 	 21
463 	 -0.0 	 0.190 	 24
464 	 1.0 	 0.040 	 8
465 	 -0.0 	 0.160 	 29
466 	 -0.0 	 0.150 	 14
467 	 -0.0 	 0.180 	 30
468 	 -0.0 	 0.010 	 32
469 	 -0.0 	 0.050 	 31
470 	 -0.0 	 0.140 	 26
471 	 1.0 	 0.070 	 7
472 	 -0.0 	 0.060 	 35
473 	 0.0 	 0.020 	 32
474 	 1.0 	 0.070 	 8
475 	 -0.0 	 0.150 	 28
476 	 -0.0 	 0.040 	 35
477 	 -0.0 	 0.180 	 14
478 	 -0.0 	 0.060 	 19
479 	 -0.0 	 0.010 	 17
480 	 -0.0 	 0.150 	 31
